rating,name,reference,price_level,lat,lon,opening_hours,vicinity,photos,id,types,icon
4.2,D'Amico Foods,CnRwAAAARE93oqh3Vk3AGKnB6oYVakvGF8c-asYavsq4M70IAFf9NX3F1-pKZv-gDc87NaYPezzVMjfvPOK3qxCn8pVDUPCQbtAtI24cgiKTqFpXwSxkpYDBotNGUHn6Tr6kITA5qdQjpCaTo4SSTH-S4kA5CxIQZF0amJviPmW9O3ow0OO7DBoUoIkbNSgur0InMHNyoRpWK3xT28M,1,40.683491,-73.995118,{'open_now': False},"309 Court St, Brooklyn","[{'height': 853, 'html_attributions': [], 'photo_reference': 'CnRnAAAA_vn19W7PxibloXFR3MSg1Uyq_WCzzALBw9FNk1oEisTi5P3fRabJRSOuStuuTRbQOdhF2uTuwXvqoTw-9v2SCbn1yJr83LeJtuS7xn6xrlHljeT1EL_7Z19fXsvkGiejf6qMfveO2HGcoGRYp1Q0BxIQLNdAj3qVcglozZFMI5GjOhoUiLFfMQk38bct2sTWSI0ekmWrB9E', 'width': 1280}]",b75e739eb6a5fef5db2f8d0442415afd2f224a57,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Howard News 24 Hour Deli,CoQBeQAAACwj2Etwjt41_0XBBS1blVIRVOWaR990PjkbEXTugYvN2Ll64E1uYIXNC7Pj5gElaf7YRTbC3XFASyMF57STi8Hh95Fk1rvXIQpFe3m6V2OFIR7uZ_ZUIZK_FKboIeJX7VPkipi7TcR-glcSoV_8o78qYrBRKIOSPmp_IXy9eCJIEhD8UhO3sKd9YpJfUsQ1jBUwGhSxedLveKK69_jGs1HVOTBX-2yyFg,,40.729778,-73.860566,{'open_now': True},"97-15 Queens Blvd, Rego Park",,08419f2039804d29c92d9a014e3d3f064e9f2b3e,"['convenience_store', 'store', 'finance', 'cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png
4,Kopi Kopi,CnRrAAAAN6dJqjYzV1oemq6_x45b_P9NfNQiwfLfzqKPr-FWqXU1mJ0QB6XEwvAQ-9aCuwdaa2dphS-Rnp2bnlttTQYUZzpZkb07VjUbzusOU2h9NrL-wkChcYK1B0KTTHICXjOPBL5LzbiDjNYrNL105AGILRIQCNT1TFeXk_MR-QYlqMP86BoUtpq3yOGJJjYBhgniUWJF3N1e4TI,,40.729399,-73.99829,{'open_now': False},"68 W 3rd St, New York","[{'height': 563, 'html_attributions': [], 'photo_reference': 'CnRnAAAAxEDf7_0nIrmSEUieOyJxJw6N5KcLfiV623Hp0J3-5pmDsPCPb0TfMukl3hiKqDG3pPxdv0tiCFO__I4wNNkrIn3TLkLS36ot3KrxHRf0no5e2HKhZ3QIaBXHdHE8as2ymyZI3T4tLpoWgCzgAJQ0XhIQTLh8dK3eHBbxmhlmUnys8RoUV4VqoJ13mKTJrn-YoR9xJf5JRtc', 'width': 750}]",d56e109ef1c631f8003cc55b13a60485a35e124d,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,341 Seven Avenue Cafe Llc,CoQBewAAAA_5BqMaCpWy99KRGwTrRj-55HiITDn3ZIKK5AV4OPx-dRlOOqN2Kuo5OfMuNFPfwhGIhCfeuXE_DS0CHliKJqsXsfYPK7mnGBbyedQ6WrT-eBj3qKoGXZS092yUb3giTxh4c0c_hg5FZbMjPXLrul8nYmJj0I7YiGcNUF5d5j2VEhCeyC_mC0xFOwFseqjhiLAxGhQ_Nnlmobc4dMQR8vEohHEdNJ2I9Q,,40.666463,-73.981767,,"341 7th Ave, Brooklyn",,f6ffd72176026234c49a07dfaf820fab65066cf6,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Soup Burg Coffee House Restaurant,CpQBhAAAAAVJ4mjYAxUB0nS4WOyl4dCg63VCevbpte6GLUXTcHRqOYvB3ObgB6W9HwrAs1h_9T7kefkYKCd3ijb8fdzlRMtjD7paCaJnzKP3a74QNt6t_t6_uNWSZeZoJ2l_vcJ_zrfycpT7lCd7bOuLbgn3KhTdlWaaXheDHVlrZ4YRj80EEYsj6GW-BzTPyMGUAeZk_BIQ1sxG4Vurw2nkNHbVX72wFRoUGH6ykgU6_cVi-1cEv_h4fWQNn90,2,40.773332,-73.959786,{'open_now': False},"1095 Lexington Ave, New York",,d3ceaa5a9b99e1b4a88c07e5ac99b5d61751ab29,"['restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
,Green Cura,CnRsAAAAToTbB9LO05oY-Su9E6xzulFRHI-3fySVc_Lyx2orCbhWUQ5uGGTdiX7boqJ5C9qnxc2jnexL_ECGtpCoxCla9Akhs9YpS0OCQ26ZAfDaTvabXgIRe85chuFP804DTuVjvlD0-sYI6AFN3-1NtnG-DRIQOOx9Pxz2RhkKIi6uBajUjxoUpm9pNALYsoFxn5nWxWNqjWHECaQ,,40.865806,-73.985314,{'open_now': False},"454 Broad Ave, Leonia","[{'height': 575, 'html_attributions': [], 'photo_reference': 'CnRnAAAApIqq6IQQJ2-_Rs4z7TSHOEMNKJBqS0DToRhKA-AALM5D5DsIXnFlnvyaEvLkg-2s1FjMnGE4pcmWxhiu2vdKfyhApKAqPOArINFkXPECWtwh1svlSVi4IPWIJrQ-MvxX3-p6J35brEfDQRLvN-xt1xIQEHsdwlnI88jdosgSJf9nvBoUeel1oNbEYR2Q4YPjNafwttgTbhw', 'width': 445}]",4e6dafa4abc4f0c973b79c5fa63be59d749674d7,"['cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Cafe Twenty Two Express,CoQBeQAAAAY6u31ARJmjgf8HJsNZ1pAUTejVoAz-JmV3IidV1gggeeuFwebYv5PNvErqRh92Wxu8tpZyAy1ItxtqV1h8FEjDlS4Am1v5qC5cx_hKS627SYPodgqXEgm94xXxiXDTgzOQ0Ne-mE0bOHleeXunF_nqCrMlwNkSGyTtVOEl4UQVEhAmZDPw7yNJrnTHalgMgD1dGhQ8yu3VkKeuuOqJ0vvyH30Ql_lleQ,,40.824273,-73.937412,,"2528 Adam Clayton Powell Jr Blvd, New York",,1ffa3ac9539ff1ba8c02ea058ad0d51d02005761,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,argo tea,CnRpAAAAYZZYRfPz68ZZfO-y3nETAO5L554QzUn3vry0LumvT5J6d7hPkoB8Vc8dPEoGJGqyj3YoJZYlyb6ewroslq1dJBa7gWblXLH3CuGMKAc_hmrCYqnElmyCMbBKI3Zh3iqndPnJBV4vSvcF5-tVBpHQsRIQ8BPvI5_3xrPjsJbv2MMaaRoUG0w2UDf_Fmal9yaZmnAk5gkfqNA,,40.729573,-73.995375,{'open_now': False},"239 Greene St, New York",,f664af2181727bf6dab74b7abdc3b938e0959c17,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,dunkin donuts,CnRvAAAAUPh0x5JKo0PpJwbROH1qj6uQ7j1EDHeDbCzYrc_GRq5QHyLfJay4ZyenALWSlUT0mLdvEj1CqM05FZRIWpJx0dFwojS6AlZVkxVxQQ-tLx06xwrgmRdoIinWNikO3MZ99FHX7hlDWrtzpY9sNTcJJxIQoPROEHi3M-3dWYnBUbBEaRoU4RGqmccwdiyx9D8olMJt2RJKwgc,1,40.747025,-73.891098,{'open_now': True},"74-13 Roosevelt Ave, Jackson Heights",,0f387b6f0941f8ad1e83870510d07e0e7655e549,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Pearl Cafe,CnRtAAAAqlZ_ZvzZbhINHSQwyPtucPs__Dnbaeb9PLv1IJwplYr-pHIu7JgMD-J0MANvh8I_mrtD_QO0V9v0AZE6FEW0mfSdNE3J6-9ADJ2kW0-3zn-WopqAeXfsKRF26-oVW7L2HvEaVMK913iVMqJgaryKUhIQWNTR42hHB8IC_s86yOuJZxoU9sv0zdkv7QE_NGlvBI6JqoxpTVk,2,40.708037,-74.004125,,"49 Fulton St, New York",,c56e93b66e98ac4209de710275c558614836fb11,"['restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
