rating,name,reference,price_level,lat,lon,opening_hours,vicinity,photos,id,types,icon
4.2,Milk & Roses,CnRuAAAA11Afnzm2DFoTXGTN3NUUoclSiRhXUf9pnO3MezR3DNkB9PvizpmXsDkCKtOwevDjdS_UTES2CHm8iClQiLxdj2xuFL9TWr6iRWbTO8sbOt4y-29F7rDilOj9dXSHXVJAcu6p0eolagt73keH_cpSOhIQEr2afRgjLehIDk-c3VHheBoU-paV_7ofTMF0mrdFksX42HTIwQo,1,40.736409,-73.955118,{'open_now': True},"1110 Manhattan Ave, Brooklyn","[{'photo_reference': 'CnRqAAAAEqea4jV85H4IlbcwNTvcrPzlbwb6dAJpHNWhXFbolJuFiCvLF_Tu5NRhiyiShOzFoOZzRyiKVndCjlo96BRU5ngiWAYvnq0Jib-FXxs6FlwPVHGV11iZgtpMDzZ1zKjZYS1K7Csl5eVa2lfSlAVA8RIQ975yg0YQW3fhVOyVtAJpNBoUJD4gPhylw90YSr3D8kpL170TX4w', 'html_attributions': ['From a Google User'], 'height': 1536, 'width': 2048}]",e30b1fd9c3faf1c52f7694cca5391a4312fa2cc9,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,High Point Coffee,CoQBcwAAAJCaY13tpcf5p4I6gpV7P2mPLTqtLICAas4ynnxbd2yEfaR5UUs1dWSV7v5SDTKpZUM0vsr5hvjb1RW9guHNol1VPyEHPD8MrUe2mK1mzWFFwyCyX5e2HpbF_U_wEEEheMtMb7mLXF5n2lkrWsGgjIqQXacjWrLydwd3QrPDqwbJEhDGot8GcO69BNnzs4AQl5suGhStv5SFQKbJ3CNmZXEbEShMK3QrZg,,40.664706,-73.989859,,"581 5th Avenue # 1, Brooklyn",,105c115c4ed2957f7c7fa6ff3bb04accfbcbcc4c,"['store', 'cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
4,Verb Cafe,CnRsAAAAaBH6rNCw7gY7pZshdshzwDY-36qIKqbYo5mpypAZkJGUzN6f2Xs1ORhibC8YD5QWb6RIHSS9PH40rLQ0rTUFdpvFswtIA1wI7NCywjAXMHKz-sT8zpU4Gh-yQeX25AffOcI-W-ZqpchoOQ7i4vsIUhIQA-6tWsUbvk58vbbEAthe2xoU4m4XVegIbIlzxXL5CCQwXJdpwSk,1,40.716717,-73.959233,{'open_now': True},"218 Bedford Ave, New York","[{'photo_reference': 'CnRnAAAAWKsESJ8ViVxT9mqYHXy9K6jjB5kwUiOT0vf4xZwACZxH3FnW5S6vkY78YICCE00UJPSXeO6gTQFlV-dFJW8o9LR4putdsGVpX5QEHrPNRKu2qSJgSYWqDtk45rtOGgtgreNQRGCdK_jhGY6SkIklLRIQ0yYkqMqILyY1uX4kzbMlDxoUfJjjb9a-w4KklVXr3bOi7Ry5KcU', 'html_attributions': [], 'height': 1200, 'width': 1600}]",3caeccd5521a52f0d4c0442658899f8154d6a5f0,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
4.2,Panino Rustico panini & espresso bar,CpQBhwAAACxb_af4UIJtuAeZgUcs0CTLH4_7ZSh7_X2yYzqLhmWyMNdqIpq-8CcIOgcEwxltfjFtfD-wRDzY77K3BnCgarQY6wVMXguSCc5oEG-C7NAjR4dDoYb9hd--zbfW0sZgTKeLmOK6YC7PuM8SQ-GoQEetZv9pggkdi8wOAh_p5Q8CuUXZS6xzu_glWUIZcYwojxIQYABMnGf8-VOMGWZAAC4FjxoUgdnniKdd0PrZAH6h2tji6rNKTpk,1,40.610437,-74.003124,{'open_now': True},"8222 17th Ave, Brooklyn","[{'photo_reference': 'CnRnAAAAZc1qXAyPXyfZpDxV74Z1C_hPOTOVWzSUYAWJPvH_ZUpsapQwLOElckSDnF2Vm1r4qYVqa2_gqxIptl7am7ytfk_-JFQs1TJlHsWM90ZSC_cbxm3lTc4TnHzRghdwV7iwRRGYJvy9fsBMck0f6tR6ORIQvWxCmvQb5ZPQkef_CfcGmhoUHcjoXeSD8lPhyHPxaq7SiOJ0Yrs', 'html_attributions': [], 'height': 855, 'width': 2048}]",010dd82401c4216e02b856a7b9477c4caf4039ec,"['meal_takeaway', 'cafe', 'bar', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Coffee Associates Inc,CoQBdwAAAABKO5cGeT8E5uMBYJXLxKJy1Gr1sMJLO9ag3gpzzwCf1iPdaFxt51tB8arVvkXg-z6n5JCCTmvheA7z1E5fQ03dDqalRmLoB_pTXuL80zBJe1xmChDL8o7njmhI6a-eLHDqQl39xacJOV_z0V8r8zf7A86cknAdsG9XPRxm-itvEhAHFW6FBi8Cdwx-0X0x8CpAGhQ7VjvGCgyTqq1y0_1_6LC-mdAUHg,,40.710523,-73.985757,,"178 FDR Dr, New York",,f61bb798e56ce789f548d9ae7fa84f989db9d608,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Starbucks,CnRsAAAA_qh7iEdo2CCsO8iIqGfS8gtKACsgayG8Q8zBuTfttO00YbAeeqsYwbm-BXCRylCEytGwepMv-eYsdRKzrbKj_cJwsA5LOp42yVlBG6F03dFC0u_l2Vknmuqki_DYpEVPOJgEEQtRRNNyHId-d6r-xBIQPSvYKIbvmh366APklPUznRoU5wDHDBQeB0KzKV8EgrrPwJlRVZg,2,40.765051,-73.981735,{'open_now': True},"1740 Broadway, New York",,bca7f7c8a73b2a17c9fb4725bf0332b46ae209e4,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.9,Konditori,CnRqAAAAUlsLaRMoQX7XqYKAxjItvwbTv-Q8E5K7rNy5jKxBKA1xLN6TjT-pqsp8llwY2coJRnUjfJpJy3OoavMp-RnLjgI6BVj7FtbMifbNhsyDVtJGrYYZJgF_nQmcZsKfr7ZoW0sdMirUsPhrm2rOnw1mKxIQ-NscmwfqovFPeqGNG9GfqxoUivkczx2EWMRLpex8dhtr_FFGgqg,1,40.677308,-73.97997,{'open_now': True},"186 5th Ave, Brooklyn","[{'photo_reference': 'CoQBfAAAAPBg2Ne-fYneeCtXBW3h7KnDJ0Rya-oF6eME-wO2-mvBILms1bOugNLgESXpOuw_Gu3krZ5_lnN8qmlU6jxTbS6lWcfqhltNO9HgmlA7vdIzQ5M0AEt1CLmPkIoq-saCj-I8w_Ra-Ybe81Kb1-fIikCygh28LGJbh3Ks1b743nG_EhBg7f8h9X5fCf9kvjLSVJi6GhTsAYd5L8SH5r6r-F_WQTaZ0vQ0vA', 'html_attributions': ['<a href=""https://plus.google.com/104111246635874032234"">ZAGAT</a>'], 'height': 1365, 'width': 2048}]",774924c5388351cb425d9ae73084083a7b45a95f,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Myrtle Avenue Restaurant & Coffee Shop,CpQBhwAAAJNEfyue-8DK4GcSxHn9Ym7hqVmpeSR6aMvmWPLEpJNAXHfc_l2epT-o10yMP5F0FG5jNRn8FHAOkCxsMwh9tN5Q2dQS5ewk7gXBDJQPwBP7z2cZMDyQkWUviyHQS6Ni6lJXuL33u2XR9Xi3E1SGTPASk-qGvVR1pWeA7-L0ZvJrvJtE7hoxebHacLi_EMEXsRIQ2_C7E9m29CBRH8LRYjX6uRoUzEt6dhbI00-KlMLNzD82WZQYKtk,,40.70035,-73.902038,{'open_now': True},"5742 Myrtle Ave, Ridgewood",,a51cb02652a014537a8ba606257d8b5c356642be,"['cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.9,Le Pain Quotidien,CoQBcwAAAObaT3TvVXgC8fbwp1eocpiKz4zwLJymjTidD6IJTP3Lh7AaB4iZdvZtwQ9ywYPGIbaCN8T4ntRCS7iseL7jMLba9FcDa1rl_o2awd4Em4tYVZZvbedJ4DbOtYHQQfqUVBr1iCm6vsfYEvcRTtAaJOx1FOJi3fe4jRQgk9WBQ26oEhB0adYxGvqmhg2Uzo-2dx2DGhSNJELu-YIsZB-u4KJSNJFdN02uvw,2,40.773102,-73.974481,{'open_now': True},"2 W 69th St, New York","[{'photo_reference': 'CoQBcwAAAMbtzsNbzsyoT9fOtoh9AQ5wA93HnYliAtyVheovYTNX_TLBAdWStJXwsHdWzkeP8rVZ0b72ENxK3OgHF7dEMbRa9lxuCxa5EtHw3D-wocEVH9SbM_pmByjViSEsx7FAK2VkprqRpiUQf0sZbLYdJk8XMtlJZPHoHQomX6Tb-8w_EhAJ62eI1PaHn6I27QMUJQtQGhRe7zUbZsKEblWSGUpn_NXmaQJTBg', 'html_attributions': ['<a href=""https://plus.google.com/110132098859758206933"">Patrick Kaeslin</a>'], 'height': 816, 'width': 612}]",432a1076d1fc57fab0497d8b0a95c3515e7a2d34,"['bakery', 'store', 'meal_takeaway', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
,infiniTEA café,CnRwAAAArY5VoweXM1UurZg2yiIODEuowGEwsxBOs-EU_VQFiAJHy4n2mFXr-gsRAC2lZ5YQOU7FMby52awczmqgU2shyMQtkGfMNLF0Ygu1oKYplsH8a4ra3o1qezcD1-12ZnCmsmzGwE9uR5qnUPQ5OAqTMhIQLMNJxkOPhwZJv42v1IE3jRoUNMQHFigUZVRiSwV-ivF6gaFHdwA,,40.691606,-73.986637,{'open_now': True},"150 Lawrence Street, Brooklyn",,88071f7698bfa81446522c15427479a5e8f9fa5f,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
